商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
2023新款女睡衣夏妈妈棉绸睡裙圆领中长款无袖连衣裙人造棉家居服,230725-162057471393753,已发货，待签收,"54.28	","1.0	","0.0	","53.28	","53.28	","1	",2023/7/26 8:41,"	","498014880433	","墨绿小草莓,2XL 90-125斤","1414030866231	",#dd#230725-010873772980442#17039047178#2023-07-25#234825883860#13.78##;,无售后或售后取消,"463037885776612	",韵达快递,2023/7/25 10:30,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖短裤新款薄款圆领夏季家居服套装,230725-680714597183273,已发货，待签收,"62.9	","1.26	","0.0	","61.64	","61.64	","1	",2023/7/25 19:29,"	","498000631123	","A25233 全棉,M 【70-95斤】","1414008760749	",廖英#dd#230725-182672454580442#17039047178#2023-07-25#474405619066#22.5##;,无售后或售后取消,"73230000669008	",中通快递,2023/7/25 10:27,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖短裤新款薄款圆领夏季家居服套装,230725-353223340863273,已发货，待签收,"62.9	","1.25	","0.0	","61.65	","61.65	","1	",2023/7/26 0:27,"	","498000631123	","A25307 全棉,M 【70-95斤】","1414008760777	",  关联   廖英,无售后或售后取消,"73230000669008	",中通快递,2023/7/25 10:27,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖短裤新款薄款圆领夏季家居服套装,230725-009625957183273,已发货，待签收,"62.9	","1.26	","0.0	","61.64	","61.64	","1	",2023/7/26 0:27,"	","498000631123	","A25306 全棉,M 【70-95斤】","1414008760773	",廖英,无售后或售后取消,"73230000669008	",中通快递,2023/7/25 10:27,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230725-093480569783771,已发货，待签收,"96.05	","1.0	","0.0	","95.05	","95.05	","1	",2023/7/26 8:41,"	","497984016735	","7SC-短长藕荷晚樱,L（101-120斤）","1413983512320	",#dd#230725-631788093081992#17139734129#2023-07-25#234274278338#39##;,无售后或售后取消,"463037885840165	",韵达快递,2023/7/25 10:16,否,,"	",
夏季吊带睡衣纯棉女士棉绸家居服学生公主可爱大码宽绵绸吊带睡裙,230725-118641202752045,已发货，待签收,"54.0	","1.0	","0.0	","53.0	","53.0	","1	",2023/7/26 8:41,"	","498242383806	","吊带睡裙柠檬,160(M) （90-105斤","1414397037796	",#dd#230725-057005895321992#17139734129#2023-07-25#207522028057#18##;,无售后或售后取消,"463037885788467	",韵达快递,2023/7/25 10:10,否,,"	",
纯棉七分裤女夏季薄款亚麻中老年人大码休闲裤显瘦宽松高腰哈伦裤,230725-662175752981695,未发货，退款成功,"90.1	","1.0	","0.0	","89.1	","89.1	","1	","	","	","498368452918	","黑色+绿色【两件装】,4XL 建议160-180斤","1414605972914	",#dd#230725-491981413401992#17139734129#2023-07-25#388098901323#36.5##;,退款成功,"	","	",2023/7/25 9:36,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230725-386714879492154,已发货，待签收,"96.05	","1.0	","0.0	","95.05	","95.05	","1	",2023/7/26 8:41,"	","497984016735	","7SC-短长藕荷晚樱,M（80-100斤）","1413983512319	",#dd#230725-612200641561992#17139734129#2023-07-25#234274278338#39##;,无售后或售后取消,"463037885631517	",韵达快递,2023/7/25 9:06,否,,"	",
妈妈棉质夏装中老年人女装夏天老年套头奶奶宽松T恤衣服老人套装,230725-056465868472968,已发货，待签收,"96.05	","1.0	","0.0	","95.05	","95.05	","1	",2023/7/25 9:52,"	","497994826049	","粉红【0551】绵质,【4XL】建议13 0-155斤","1414000031369	",#dd#230725-313775922201992#17139734129#2023-07-25#222800972354#37.05##;,无售后或售后取消,"463040071175860	",韵达快递,2023/7/25 7:54,否,,"	",
胖妹妹大码300斤睡衣女夏季短袖短裤薄款学生宽松可外穿两件套装,230725-203476243842638,已发货，待签收,"84.15	","1.0	","0.0	","83.15	","83.15	","1	",2023/7/26 8:41,"	","498248433530	"," -sxd.1175粉老鸭 【不透不起,6XL 【合适201-250斤内】","1414406949044	",#dd#230725-240480449460442#17039047178#2023-07-25#328386255354#33.65##;,无售后或售后取消,"777156612833105	",申通快递,2023/7/25 7:30,否,,"	",
高档纯棉睡衣女夏季短袖长裤中年妈妈大码开衫套装中老年人家居服,230725-316554648470388,已发货，待签收,"88.4	","1.0	","0.0	","87.4	","87.4	","1	",2023/7/25 11:12,"	","497947037721	","2905,XL（115-135斤）","1413926198653	",#dd#230725-459711528601992#17139734129#2023-07-25#243142304948#35.7##;,无售后或售后取消,"777156075958479	",申通快递,2023/7/25 3:59,否,,"	",
睡衣女夏季新款短袖短裤韩版甜美公主风学生可爱两件套睡衣家居服,230725-129378610720405,已发货，待签收,"57.63	","1.0	","0.0	","56.63	","56.63	","1	",2023/7/26 8:41,"	","497952154126	","2201柚子,M 建议拍【80-95斤】","1413934162215	",#dd#230725-568349245081992#17139734129#2023-07-25#220513362248#20.88##;,无售后或售后取消,"777156612854558	",申通快递,2023/7/25 1:07,否,,"	",
夏季超特大码冰丝短袖短裤薄款300宽松200斤胖mm家居服睡衣套装女,230725-586216979942260,已发货，待签收,"48.45	","1.0	","0.0	","47.45	","47.45	","1	",2023/7/25 10:52,"	","498007804847	","黑色,7XL220-260斤","1414019395262	",#dd#230725-160725790361992#17139734129#2023-07-25#339765081453#16.9##;,无售后或售后取消,"463039861991061	",韵达快递,2023/7/25 0:36,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230724-256502711750199,已发货，待签收,"64.68	","1.0	","0.0	","63.68	","63.68	","1	",2023/7/25 10:32,"	","497947696959	","全棉25223,M 【70-100斤】","1413927064077	",#dd#230725-196812512253409#18030372931#2023-07-25#467267952482#24.98##;,无售后或售后取消,"463040113628664	",韵达快递,2023/7/24 23:00,否,,"	",
高档纯棉睡衣女夏季短袖长裤中年妈妈大码开衫套装中老年人家居服,230724-175217110690240,已发货，待签收,"88.4	","1.0	","0.0	","87.4	","87.4	","1	",2023/7/25 11:17,"	","497947037721	","3533,3XL（155-185斤）","1413926198715	",#dd#230725-524136017533409#18030372931#2023-07-25#243142304948#35.7##;,无售后或售后取消,"777156102256765	",申通快递,2023/7/24 22:53,否,,"	",
韩版睡裙女士学生夏季宽松短袖睡衣夏季薄款春秋冬可爱卡通家居服,230724-082643568042205,未发货，退款成功,"39.95	","1.0	","0.0	","38.95	","38.95	","1	","	","	","497979728255	","幸福猫,L 建议85-105斤【不起球】","1413976897690	",#dd#230725-514724995902951#18059530840#2023-07-25#3292899148#10.99##;,退款成功,"	","	",2023/7/24 22:21,否,,"	",
中老年棉绸睡裙女夏季睡衣人造棉连衣裙子中长款大码家居服妈妈装,230724-078181846031601,已发货，待签收,"46.75	","1.0	","0.0	","45.75	","45.75	","1	",2023/7/26 8:41,"	","497997867264	","4号色,3XL 建议【130-160】斤","1414004729259	",#dd#230725-089013677693409#18030372931#2023-07-25#332683354449#15.8##;,无售后或售后取消,"463037882905265	",韵达快递,2023/7/24 22:15,否,,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230724-137898290620254,已发货，待签收,"40.8	","1.0	","0.0	","39.8	","39.8	","1	",2023/7/25 10:52,"	","498242998756	","蓝底百合花,2XL 建议90-138斤","1414398240037	",#dd#230725-493239715453409#18030372931#2023-07-25#6601635011#13.3##;,无售后或售后取消,"463039861251529	",韵达快递,2023/7/24 21:10,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230724-563578193423767,已取消,"64.68	","1.0	","0.0	","63.68	","63.68	","1	","	","	","497947696959	","全棉25192,2XL 【140-160斤】","1413927064056	","	",无售后或售后取消,"	","	","	","	",,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230724-592587027393330,已发货，待签收,"96.05	","1.0	","0.0	","95.05	","95.05	","1	",2023/7/25 10:32,"	","497984016735	","7SC-短长藕荷晚樱,L（101-120斤）","1413983512320	",#dd#230725-647784109693409#18030372931#2023-07-25#234274278338#39##;,无售后或售后取消,"463040111757815	",韵达快递,2023/7/24 19:29,否,,"	",
中老年棉绸睡裙女夏季睡衣人造棉连衣裙子中长款大码家居服妈妈装,230724-096007689861053,已发货，待签收,"48.45	","1.0	","0.0	","47.45	","47.45	","1	",2023/7/25 8:52,"	","498019686226	","橘色水仙花,XL 【70斤以内】","1414037886419	",#dd#230724-259674612642310#17350130610#2023-07-24#8214459158#15.8##;,无售后或售后取消,"463039664519787	",韵达快递,2023/7/24 18:04,否,,"	",
夏季妈妈冰丝阔腿裤中老年新宽松百搭花色阔腿裤高腰显瘦高档裙裤,230724-652146133842000,已发货，待签收,"39.95	","1.0	","0.0	","38.95	","38.95	","1	",2023/7/25 8:12,"	","498373068809	","1号色 【冰丝裤】,2XL 建议【120-140】斤","1414613202064	",#dd#230724-655234221620442#17039047178#2023-07-24#489179488192#12.8##;,无售后或售后取消,"463039603654108	",韵达快递,2023/7/24 16:55,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230724-569984981971663,已发货，待签收,"54.87	","1.1	","0.0	","53.77	","53.77	","1	",2023/7/25 8:52,"	","498282700196	","261黑粗条,XXL码 【130-158斤】","1414461455302	",尹吉凤,无售后或售后取消,"777156044693205	",申通快递,2023/7/24 16:41,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230724-140488252371663,已发货，待签收,"54.87	","1.09	","0.0	","53.78	","53.78	","1	",2023/7/26 0:29,"	","498282700196	","261黑粗条,5XL码 【210-240斤】","1414461455305	",尹吉凤,无售后或售后取消,"777156044693205	",申通快递,2023/7/24 16:41,否,,"	",
2023睡裙女春夏季冰丝性感薄款男友风白衬衫网红中长款仿真丝睡衣,230724-540907980190410,已发货，待签收,"69.7	","1.0	","0.0	","68.7	","68.7	","1	",2023/7/25 11:17,"	","497980882524	","高级丝滑面料0001白色,L码 【建议110-150斤】","1413978250659	",#dd#230724-567169524761992#17139734129#2023-07-24#238657498353#26.88##;,无售后或售后取消,"777156102247325	",申通快递,2023/7/24 16:36,否,,"	",
睡衣女夏季冰丝短袖2021新款韩版V领薄款仿真丝绸家居服两件套装,230724-262437641142377,已发货，待签收,"97.75	","1.0	","0.0	","96.75	","96.75	","1	",2023/7/26 8:41,"	","497949373095	","V领蓝条纹花+V领百合花杏,M 【70-95斤】","1413930005234	",#dd#230724-645089279641992#17139734129#2023-07-24#227107608999#39.9##;,无售后或售后取消,"463037882824138	",韵达快递,2023/7/24 16:04,否,,"	",
2023睡裙女春夏季冰丝性感薄款男友风白衬衫网红中长款仿真丝睡衣,230724-544572742700526,未发货，退款成功,"69.7	","1.0	","0.0	","68.7	","68.7	","1	","	","	","497980882524	","高级丝滑面料0001白色,L码 【建议110-150斤】","1413978250659	","	",退款成功,"	","	",2023/7/24 15:25,否,,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230724-299478577931335,已发货，待签收,"40.8	","1.0	","0.0	","39.8	","39.8	","1	",2023/7/26 0:22,"	","498242998756	","蓝底百合花,L 建议70斤","1414398240120	",戴金花,无售后或售后取消,"463039861504158	",韵达快递,2023/7/24 12:37,否,,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230724-464173188491335,已发货，待签收,"40.8	","1.0	","0.0	","39.8	","39.8	","1	",2023/7/25 10:52,"	","498242998756	","玫红孔雀花,L 建议70斤","1414398240109	",戴金花,无售后或售后取消,"463039861504158	",韵达快递,2023/7/24 12:34,否,,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230724-060167299851335,已取消,"40.8	","1.0	","0.0	","39.8	","39.8	","1	","	","	","498242998756	","蓝底百合花,L 建议70斤","1414398240120	","	",无售后或售后取消,"	","	","	","	",,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230724-404781874571335,已取消,"40.8	","1.0	","0.0	","39.8	","39.8	","1	","	","	","498242998756	","红底百合花,L 建议70斤","1414398240121	","	",无售后或售后取消,"	","	","	","	",,"	",
中老年女装人造棉睡裙妈妈装大码棉绸睡衣连衣裙休闲宽松家居服夏,230724-045581638411335,已取消,"40.8	","1.0	","0.0	","39.8	","39.8	","1	","	","	","498242998756	","蓝底百合花,L 建议70斤","1414398240120	","	",无售后或售后取消,"	","	","	","	",,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230724-125608948571454,已发货，待签收,"54.87	","1.0	","0.0	","53.87	","53.87	","1	",2023/7/25 1:34,"	","498282700196	","263紫大嘴怪,5XL码 【210-240斤】","1414461455368	",#dd#230724-105602160180442#17039047178#2023-07-24#220495921553#17.8##;,无售后或售后取消,"777156360808861	",申通快递,2023/7/24 12:24,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230724-591832052481697,已取消,"96.05	","1.0	","0.0	","95.05	","95.05	","1	","	","	","497984016735	","7SC-短长女款粉底白天鹅,M（80-100斤）","1413983512359	","	",无售后或售后取消,"	","	","	","	",,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230724-673217268560059,已发货，待签收,"54.87	","1.0	","0.0	","53.87	","53.87	","1	",2023/7/25 1:34,"	","498282700196	","676方格熊,3XL码 【158-175斤】","1414461455261	",#dd#230724-614119587380442#17039047178#2023-07-24#220495921553#17.8##;,无售后或售后取消,"777156360808805	",申通快递,2023/7/24 11:30,否,,"	",
纯色棉绸睡衣女短袖长裤两件套夏季新款大码宽松人造棉套装家居服,230724-243248741960561,已发货，待签收,"90.95	","1.0	","0.0	","89.95	","89.95	","1	",2023/7/25 1:34,"	","498241710851	","酒红,3XL（建议130-145 斤）","1414396011709	",#dd#230724-278905496382951#18059530840#2023-07-24#345144408481#35.8##;,无售后或售后取消,"777156360810599	",申通快递,2023/7/24 11:13,否,,"	",
新款纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230724-496799619871095,已发货，待签收,"63.75	","1.0	","0.0	","62.75	","62.75	","1	",2023/7/25 1:34,"	","498274982588	","全棉25229,2XL 【130-160斤】","1414448705188	",#dd#230724-481988453182951#18059530840#2023-07-24#462812724748#23.98##;,无售后或售后取消,"777156360807879	",申通快递,2023/7/24 11:11,否,,"	",
纯棉七分裤女夏季薄款亚麻中老年人大码休闲裤显瘦宽松高腰哈伦裤,230724-549600685610319,已发货，待签收,"52.7	","1.0	","0.0	","51.7	","51.7	","1	",2023/7/25 1:50,"	","498368452918	","天蓝(单件),XL 建议115-130斤","1414605972965	",#dd#230724-313524295321992#17139734129#2023-07-24#388098901323#18.8##;,无售后或售后取消,"777156360302796	",申通快递,2023/7/24 10:51,否,,"	",
纯棉七分裤女夏季薄款亚麻中老年人大码休闲裤显瘦宽松高腰哈伦裤,230724-081636945450319,已取消,"52.7	","1.0	","0.0	","51.7	","51.7	","1	","	","	","498368452918	","天蓝(单件),XL 建议115-130斤","1414605972965	","	",无售后或售后取消,"	","	","	","	",,"	",
新款纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230724-401877298770107,已发货，待签收,"64.68	","1.0	","1.0	","62.68	","63.68	","1	",2023/7/25 1:34,"	","497947696959	","全棉25192,L 【100-120斤】","1413927064054	",#dd#230724-168820745241992#17139734129#2023-07-24#467267952482#24.98##;,无售后或售后取消,"777156360806588	",申通快递,2023/7/24 10:38,否,,"	",
夏季吊带睡衣纯棉女士棉绸家居服学生公主可爱大码宽绵绸吊带睡裙,230724-411340717592529,已发货，待签收,"54.0	","1.0	","0.0	","53.0	","53.0	","1	",2023/7/25 1:34,"	","498242383806	","669深粉菊花,170(XL) （120-135斤","1414397037788	",#dd#230724-515815577022951#18059530840#2023-07-24#207522028057#18##;,无售后或售后取消,"463039642538774	",韵达快递,2023/7/24 9:12,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230724-360531936813431,已发货，待签收,"54.87	","1.1	","2.49	","51.28	","53.77	","1	",2023/7/25 1:34,"	","498282700196	","676方格熊,4XL码 【175-210斤】","1414461455262	",肆月,无售后或售后取消,"777156360810654	",申通快递,2023/7/24 8:43,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230724-188733244973431,已发货，待签收,"54.87	","1.09	","2.51	","51.27	","53.78	","1	",2023/7/26 0:21,"	","498282700196	","677紫库洛米,4XL码 【175-210斤】","1414461455269	",肆月,无售后或售后取消,"777156360810654	",申通快递,2023/7/24 8:43,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230724-487965398521598,已发货，待签收,"64.68	","1.0	","0.0	","63.68	","63.68	","1	",2023/7/25 1:34,"	","497947696959	","全棉25192,2XL 【140-160斤】","1413927064056	",#dd#230724-001856019262951#18059530840#2023-07-24#467267952482#24.98##;,无售后或售后取消,"777156360808678	",申通快递,2023/7/24 8:08,否,,"	",
买一送一妈妈夏装两件套装中年妇女短袖七分裤中老年奶奶洋气冰丝,230724-338060921663398,已发货，待签收,"91.0	","1.0	","0.0	","90.0	","90.0	","1	",2023/7/25 1:34,"	","497994248773	","13号色+15号色,3XL 适合120-140斤","1413999118976	",#dd#230724-152688475582951#18059530840#2023-07-24#484973593276#29.9##;,无售后或售后取消,"777156360807170	",申通快递,2023/7/24 7:48,否,,"	",
高档纯棉睡衣女夏季短袖长裤中年妈妈大码开衫套装中老年人家居服,230724-112491262753978,已发货，待签收,"88.4	","1.0	","0.0	","87.4	","87.4	","1	",2023/7/26 0:22,"	","497947037721	","M1601,XL（115-135斤）","1413926198753	","	 汪美琴",无售后或售后取消,"777156360810484	",申通快递,2023/7/24 7:37,否,,"	",
高档纯棉睡衣女夏季短袖长裤中年妈妈大码开衫套装中老年人家居服,230724-158277313313978,已发货，待签收,"88.4	","1.0	","0.0	","87.4	","87.4	","1	",2023/7/25 1:34,"	","497947037721	","w5903,XL（115-135斤）","1413926198733	","	 汪美琴",无售后或售后取消,"777156360810484	",申通快递,2023/7/24 7:36,否,,"	",
新款纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230724-608598803960600,已发货，待签收,"63.75	","1.0	","0.0	","62.75	","62.75	","1	",2023/7/25 1:50,"	","498274982588	","全棉25308,L 【95-115斤】","1414448705190	",#dd#230724-441586882040013#18030322572#2023-07-24#462812724748#22.98##;,无售后或售后取消,"777156360807922	",申通快递,2023/7/24 6:58,否,,"	",
中老年棉绸睡裙女夏季睡衣人造棉连衣裙子中长款大码家居服妈妈装,230724-556007495200210,已发货，待签收,"46.75	","1.0	","0.0	","45.75	","45.75	","1	",2023/7/25 1:50,"	","497997867264	","4号色,2XL 建议【90-130】斤","1414004729258	",#dd#230724-292374507000013#18030322572#2023-07-24#332683354449#15.8##;,无售后或售后取消,"463039642545007	",韵达快递,2023/7/24 6:32,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230724-000728841860116,已发货，待签收,"96.05	","1.0	","0.0	","95.05	","95.05	","1	",2023/7/25 1:50,"	","497984016735	","7SC-短长藕色思凌,L（101-120斤）","1413983512336	",#dd#230724-359063961080013#18030322572#2023-07-24#234274278338#39##;,无售后或售后取消,"463039642564420	",韵达快递,2023/7/24 6:26,否,,"	",
睡衣女夏季新款短袖短裤韩版甜美公主风学生可爱两件套睡衣家居服,230724-282711827503389,已发货，待签收,"57.63	","1.0	","0.0	","56.63	","56.63	","1	",2023/7/25 1:34,"	","497952154126	","米奇,L 建议拍【95-110斤】","1413934162275	",#dd#230724-464487750653409#18030372931#2023-07-24#220513362248#20.88##;,无售后或售后取消,"777156360806545	",申通快递,2023/7/24 6:20,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230724-422733433863532,已发货，待签收,"54.87	","1.0	","0.0	","53.87	","53.87	","1	",2023/7/25 1:34,"	","498282700196	","676方格熊,4XL码 【175-210斤】","1414461455262	",#dd#230724-327407441342951#18059530840#2023-07-24#220495921553#17.8##;,无售后或售后取消,"777156360807820	",申通快递,2023/7/24 3:03,否,,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230724-116381511303532,未发货，退款成功,"54.87	","1.0	","0.0	","53.87	","53.87	","1	","	","	","498282700196	","676方格熊,M码 【80-98斤】","1414461455257	","	",退款成功,"	","	",2023/7/24 2:55,否,,"	",
春夏季新款短袖棉绸女士中年妈妈睡衣套装大码宽松简约人棉家居服,230724-211812433493930,已发货，待签收,"80.1	","1.0	","0.0	","79.1	","79.1	","1	",2023/7/24 10:58,"	","497944648079	","XLT端庄典雅,XL（100-120斤）","1413922371372	",#dd#230724-385875987262951#18059530840#2023-07-24#461921018633#29.8##;,无售后或售后取消,"463030281583241	",韵达快递,2023/7/24 0:02,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230723-563143054911415,已发货，待签收,"64.68	","1.0	","0.0	","63.68	","63.68	","1	",2023/7/24 10:58,"	","497947696959	","全棉25192,L 【100-120斤】","1413927064054	",#dd#230724-229685349182951#18059530840#2023-07-24#467267952482#24.98##;,无售后或售后取消,"777156256362730	",申通快递,2023/7/23 23:47,否,,"	",
新款纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230723-591821598220911,已取消,"64.68	","0.0	","0.0	","64.68	","64.68	","1	","	","	","497947696959	","全棉25192,L 【100-120斤】","1413927064054	","	",无售后或售后取消,"	","	","	","	",,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230723-269914029592953,未发货，退款成功,"54.87	","1.0	","0.0	","53.87	","53.87	","1	","	","	","498282700196	","676方格熊,4XL码 【175-210斤】","1414461455262	","	",退款成功,"	","	",2023/7/23 23:13,否,,"	",
夏季妈妈冰丝阔腿裤中老年新宽松百搭花色阔腿裤高腰显瘦高档裙裤,230723-655700858321540,已发货，待签收,"39.95	","1.0	","0.0	","38.95	","38.95	","1	",2023/7/24 10:58,"	","498373068809	","1号色 【冰丝裤】,2XL 建议【120-140】斤","1414613202064	",#dd#230724-179767950782951#18059530840#2023-07-24#489179488192#12.8##;,无售后或售后取消,"463030281603347	",韵达快递,2023/7/23 22:18,否,,"	",
睡衣女夏季新款短袖短裤韩版甜美公主风学生可爱两件套睡衣家居服,230723-275838484112524,已发货，待签收,"57.63	","1.0	","0.0	","56.63	","56.63	","1	",2023/7/25 1:34,"	","497952154126	","2201柚子,2XL 建议拍【125-145斤】","1413934162218	",#dd#230724-525399499582951#18059530840#2023-07-24#220513362248#20.88##;,无售后或售后取消,"777156360811045	",申通快递,2023/7/23 22:17,否,,"	",
